name,RA,DEC,Reff,r_mag,g_mag,axis_ratio,pos_angle,n,u,g,r,i,ue,ge,re,ie,Reffe,r_mage,ne,C,mue_r,bae,RFF
UDGcand_5314,52.400169372558594,-36.287803649902344,3.6882400512695312,19.19770050048828,-1.0,0.651199996471405,4.063700199127197,1.4062999486923218,21.182048797607422,20.536243438720703,20.049602508544922,19.748634338378906,0.06405673921108246,0.048460952937603,0.04042559862136841,0.04236264154314995,0.4191553294658661,0.12962190806865692,0.11595369875431061,2.385606288909912,23.560956954956055,0.027046848088502884,-99.0
UDGcand_5315,52.316200256347656,-36.90308380126953,3.460860013961792,19.75979995727539,-1.0,0.9334999918937683,17.952699661254883,6.93179988861084,21.817134857177734,21.291521072387695,20.3810977935791,19.950164794921875,0.1157093495130539,0.08683410286903381,0.0501849427819252,0.04488750547170639,0.590317964553833,0.20047801733016968,0.16303138434886932,3.313789129257202,24.37588119506836,0.03774384409189224,-99.0
UDGcand_5316,52.0401725769043,-36.466041564941406,2.4370200634002686,20.158300399780273,-1.0,0.560699999332428,-23.27989959716797,0.8823000192642212,22.232666015625,21.549072265625,21.1313419342041,20.82689094543457,0.06621108949184418,0.053968437016010284,0.045846257358789444,0.04285877197980881,0.2632789611816406,0.12275879830121994,0.11112803220748901,2.385606288909912,23.45929718017578,0.025945495814085007,-99.0
UDGcand_5318,52.57475662231445,-36.65100860595703,2.187580108642578,19.72879981994629,-1.0,0.7210000157356262,18.846099853515625,1.0154999494552612,22.392868041992188,21.234085083007812,20.671920776367188,20.360496520996094,0.07405369728803635,0.04738669842481613,0.03966851159930229,0.04143376275897026,0.19449929893016815,0.09958469867706299,0.0943683385848999,2.8989179134368896,23.06833267211914,0.022111961618065834,-99.0
UDGcand_5319,51.72048568725586,-36.085777282714844,2.605380058288574,20.40180015563965,-1.0,0.503000020980835,60.02510070800781,0.7282999753952026,22.534141540527344,22.033069610595703,21.538684844970703,21.28058433532715,0.0803641751408577,0.07102624326944351,0.055272288620471954,0.04610016942024231,0.32210418581962585,0.14189022779464722,0.12444374710321426,2.764209747314453,23.729949951171875,0.028982089832425117,-99.0
UDGcand_5321,52.64741134643555,-36.522037506103516,1.110700011253357,20.63719940185547,-1.0,0.8791999816894531,11.797699928283691,0.8748999834060669,23.5240478515625,22.806875228881836,21.75861167907715,21.39533805847168,0.07434514909982681,0.06922594457864761,0.04544179514050484,0.041453469544649124,0.08302966505289078,0.08266176283359528,0.08158702403306961,2.821357250213623,22.720277786254883,0.01917843706905842,-99.0
UDGcand_5323,51.66209030151367,-36.275726318359375,1.7331000566482544,20.885299682617188,-1.0,0.9054999947547913,-8.508700370788574,0.8366000056266785,22.943391799926758,22.661001205444336,21.96917152404785,21.792856216430664,0.09068383276462555,0.09409881383180618,0.06331659853458405,0.04953553527593613,0.24106843769550323,0.1610385924577713,0.13738270103931427,2.074866771697998,23.966514587402344,0.03192589804530144,-99.0
UDGcand_5325,51.898963928222656,-36.14170455932617,2.641740083694458,20.680599212646484,-1.0,0.6521000266075134,-88.00550079345703,0.3901999890804291,22.415159225463867,22.148019790649414,21.819826126098633,21.549684524536133,0.09022912383079529,0.08925901353359222,0.07338989526033401,0.05438512563705444,0.43838274478912354,0.19464589655399323,0.15931349992752075,2.037426710128784,24.320711135864258,0.03690183907747269,-99.0
UDGcand_5326,52.33926773071289,-36.55265808105469,1.3594000339508057,20.653799057006836,-1.0,0.6485000252723694,78.27410125732422,4.694499969482422,23.809654235839844,23.201339721679688,21.888736724853516,21.428062438964844,0.0944628044962883,0.08955428749322891,0.04838129132986069,0.04172463342547417,0.10814672708511353,0.08837579190731049,0.0859614759683609,3.184110403060913,22.845186233520508,0.020183511078357697,-99.0
UDGcand_5327,52.46478271484375,-36.506107330322266,2.5099399089813232,19.30820083618164,-1.0,0.7680000066757202,10.509699821472168,0.902999997138977,21.32571029663086,20.600414276123047,20.238174438476562,20.008872985839844,0.05216691270470619,0.04106781631708145,0.03754918649792671,0.04136371985077858,0.2172861248254776,0.09677213430404663,0.09227924048900604,2.583148956298828,23.014795303344727,0.02163311094045639,-99.0
UDGcand_5328,52.73392105102539,-36.39476013183594,2.6833999156951904,19.806499481201172,-1.0,0.8291000127792358,25.729700088500977,1.457200050354004,22.089475631713867,21.31525993347168,20.72908592224121,20.423795700073242,0.08729584515094757,0.061105601489543915,0.04636843129992485,0.04375084862112999,0.33363449573516846,0.14275608956813812,0.12503674626350403,3.313789129257202,23.74131965637207,0.029117146506905556,-99.0
